This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network,stnid
"100491","ATLANTA",-115.1333,43.8000,1678,"COOP","100491"
"23B16S","DUNGENESS",-123.0789,47.8725,1250,"SNOTEL","23B16S"
"24283","ARCATA EUREK",-124.1086,40.9781,61,"WBAN","24283"
"040444","BAKERSFIELD",-119.0508,35.4186,143,"COOP","040444"
"262091","CURRANT HWY",-115.3500,38.8000,1903,"COOP","262091"
"06K16S","BUCKSKIN JOE",-106.0678,39.1822,3399,"SNOTEL","06K16S"
"SDD","SADDLEBACK B",-117.8210,34.6680,789,"CDEC","SDD"
"BKM","BUCK MEADOWS",-120.0980,37.8230,975,"CDEC","BKM"
"044084","HOOPA 2 SE",-123.6500,41.0333,98,"COOP","044084"
"11R05S","HAPPY JACK",-111.2472,34.4475,2326,"SNOTEL","11R05S"
"263316","GOODSPRINGS",-115.4269,35.8389,1219,"COOP","263316"
"BRKO","BROOKINGS",-124.2408,42.0300,24,"AGRIMET","BRKO"
"MTE","MOUNT ELIZAB",-120.2410,38.0570,1504,"CDEC","MTE"
"244560","KALISPELL 9",-114.2464,48.3072,905,"COOP","244560"
"421259","CEDAR CITY",-113.0939,37.7083,1829,"COOP","421259"
"ARY","ARROYO SECO",-121.4880,36.2300,299,"CDEC","ARY"
"FEN","FENCE MEADOW",-119.1750,36.9610,1539,"CDEC","FEN"
"1125G0A","OKANAGAN FAL",-119.5500,49.3167,335,"EC","1125G0A"
"93206","SAN LUIS OBI",-120.6414,35.2372,61,"WBAN","93206"
"BTT","BATTERSON",-119.6170,37.3830,963,"CDEC","BTT"
"93005","DURANGO LA P",-107.7597,37.1431,2030,"WBAN","93005"
"16A12S","HIDDEN LAKE",-116.7575,48.8936,1536,"SNOTEL","16A12S"
"048162","SHELTER COVE",-124.0667,40.0333,34,"COOP","048162"
"052196","DELTA 3E",-108.0278,38.7539,1527,"COOP","052196"
"CAR","CARPENTER RI",-121.5820,40.0690,1467,"CDEC","CAR"
"245402","MARYSVILLE 1",-112.3000,46.7500,1768,"COOP","245402"
"94017","WOLF POINT C",-105.5744,48.0944,604,"WBAN","94017"
"23257","MERCED MUNIC",-120.5128,37.2847,46,"WBAN","23257"
"21A35S","HOZOMEEN CAM",-121.0797,48.9808,503,"SNOTEL","21A35S"
"93197","SANTA MONICA",-118.4514,34.0158,53,"WBAN","93197"
"3050731","BOB CREEK",-114.2500,49.8833,1372,"EC","3050731"
"241695","CHESTER 31 N",-110.9333,48.9667,1036,"COOP","241695"
"03029","WINDOW ROCK",-109.0614,35.6575,2054,"WBAN","03029"
"CZP","CRAZY PEAK",-123.6000,41.9830,1210,"CDEC","CZP"
"MPC","MAPLE CREEK",-123.9370,40.7960,512,"CDEC","MPC"
"94129","PULLMAN MOSC",-117.1086,46.7439,778,"WBAN","94129"
"042296","DAVIS CREEK",-120.3667,41.7333,1449,"COOP","042296"
"1102F3H","EDENBANK SAR",-121.9667,49.1333,10,"EC","1102F3H"
"KRN","KERNVILLE (U",-118.4250,35.7550,829,"CDEC","KRN"
"13F13S","SMILEY MOUNT",-113.8333,43.7272,2902,"SNOTEL","13F13S"
"16E18S","LONG VALLEY",-116.0922,44.7914,1490,"SNOTEL","16E18S"
"043025","FERNDALE 8 S",-124.3333,40.5000,442,"COOP","043025"
"93084","SAFFORD MUNI",-109.6353,32.8547,968,"WBAN","93084"
"1107010","SANDHEADS CS",-123.3000,49.1000,0,"EC","1107010"
"024528","KAIBITO",-111.0833,36.6000,1830,"COOP","024528"
"14H01S","CLOVER VALLE",-114.9667,40.9667,1722,"SNOTEL","14H01S"
"049612","WHEELER",-123.9167,39.8833,15,"COOP","049612"
"043787","HARRIS GAGIN",-120.4167,34.7667,98,"COOP","043787"
"052501","EASTONVILLE",-104.6667,39.0333,2318,"COOP","052501"
"PKC","PIKE COUNTY",-121.2020,39.4750,1132,"CDEC","PKC"
"052496","EASTONVILLE",-104.5500,39.0833,2217,"COOP","052496"
"1119002","YALE",-121.4333,49.5667,76,"EC","1119002"
"481131","BUCKBOARD MA",-109.5967,41.2469,1853,"COOP","481131"
"026603","PINNACLE PEA",-111.8606,33.7275,782,"COOP","026603"
"045296","MANDEVILLE I",-121.5667,38.0333,3,"COOP","045296"
"298127","SANTA TERESA",-106.6981,31.8728,1252,"COOP","298127"
"GCDW","GRAND COULEE",-118.9536,47.9453,402,"AGRIMET","GCDW"
"RED","REDDING",-122.2910,40.5160,152,"CDEC","RED"
"480727","BILL 10 NE",-105.2000,43.3667,1382,"COOP","480727"
"07K10S","NAVAL OILSHA",-107.9500,39.6000,2682,"SNOTEL","07K10S"
"10J29S","LIGHTNING LA",-110.7500,40.7167,3200,"SNOTEL","10J29S"
"1010960","BRENTWOOD BA",-123.4667,48.6000,38,"EC","1010960"
"SILW","SILCOTT ISLA",-117.1847,46.4186,251,"AGRIMET","SILW"
"041404","CAMP HILL OP",-118.1000,34.2500,1296,"COOP","041404"
"245869","MOORHEAD",-105.8667,45.0667,1022,"COOP","245869"
"248473","UNIONVILLE",-112.0833,46.5500,1498,"COOP","248473"
"1126078","PEACHLAND GR",-119.7333,49.7000,398,"EC","1126078"
"410861","BLOYS CAMPGR",-104.1333,30.5333,1757,"COOP","410861"
"265371","MOORMAN RANC",-115.3192,39.3344,1993,"COOP","265371"
"1108449","VANCOUVER KE",-123.1333,49.2333,88,"EC","1108449"
"06J19S","ZIRKEL",-106.5953,40.7947,2847,"SNOTEL","06J19S"
"06J20S","RAWAH",-106.0078,40.7075,2749,"SNOTEL","06J20S"
"056820","RAND",-106.1844,40.4486,2630,"COOP","056820"
"53132","ELGIN 5 S",-110.5086,31.5908,1481,"WBAN","53132"
"246986","REXFORD RANG",-115.2000,48.8833,717,"COOP","246986"
"06J08S","ARAPAHOE RID",-106.3814,40.3511,3341,"SNOTEL","06J08S"
"93063","SILVER CITY",-108.1667,32.6333,1639,"WBAN","93063"
"94059","WOLF POINT 3",-105.2097,48.4886,806,"WBAN","94059"
"3031668","COALDALE",-112.6333,49.7333,862,"EC","3031668"
"1108440","VANCOUVER EX",-123.0500,49.2833,35,"EC","1108440"
"1107H7H","SURREY 99A A",-122.8500,49.1833,96,"EC","1107H7H"
"022782","EAST MESA",-111.6444,33.4192,463,"COOP","022782"
"21A36S","MF NOOKSACK",-121.9294,48.8247,1518,"SNOTEL","21A36S"
"050839","BOONE 9NNW",-104.3056,38.3708,1460,"COOP","050839"
"425958","MURDOCK POWE",-111.4000,40.6000,1821,"COOP","425958"
"485137","KEYHOLE DAM",-104.7667,44.3833,1278,"COOP","485137"
"LAY","LAYTONVILLE",-123.4850,39.7020,560,"CDEC","LAY"
"456187","OROVILLE",-119.4333,48.9333,284,"COOP","456187"
"CO-LR-187","WELLINGTON 5",-105.0640,40.7689,1654,"COCORAHS","CO-LR-187"
"CO-LR-220","ESTES PARK 0",-105.5137,40.3684,2366,"COCORAHS","CO-LR-220"
"CO-BO-30","BOULDER 1.9",-105.2403,39.9915,1636,"COCORAHS","CO-BO-30"
"CO-BO-33","BOULDER 3.3",-105.2380,39.9735,1673,"COCORAHS","CO-BO-33"
"052342","DOVE CREEK",-108.9119,37.7672,2086,"COOP","052342"
"CO-LR-393","FCL 5.6 E",-104.9811,40.5653,1499,"COCORAHS","CO-LR-393"
"101938","COBALT BLACK",-114.3500,45.1167,2077,"COOP","101938"
"1100241","ALDERGROVE 2",-122.4833,49.0333,60,"EC","1100241"
"3034820","NOBLEFORD EX",-113.0667,49.8833,983,"EC","3034820"
"357285","ROCKY POINT",-122.0833,42.4333,1266,"COOP","357285"
"CO-LR-316","FCL 1.5 N",-105.0908,40.5963,1524,"COCORAHS","CO-LR-316"
"CO-LR-284","FCL 3.0 W",-105.1473,40.5876,1591,"COCORAHS","CO-LR-284"
"CO-JF-24","CONIFER 4.2",-105.2273,39.5346,2365,"COCORAHS","CO-JF-24"
"CO-DN-16","DENVER 5.2 S",-104.9657,39.6656,1646,"COCORAHS","CO-DN-16"
"CO-AR-68","BUCKLEY AFB",-104.7100,39.5689,1822,"COCORAHS","CO-AR-68"
"101HF66","VICTORIA WIL",-123.3000,48.4333,9,"EC","101HF66"
"246188","NYE",-109.8833,45.3833,1534,"COOP","246188"
"CO-JF-40","GOLDEN 0.7 N",-105.2297,39.7611,1762,"COCORAHS","CO-JF-40"
"CO-LR-273","FCL 2.2 NW",-105.1152,40.5993,1544,"COCORAHS","CO-LR-273"
"CO-LR-36","TIMNATH 4.1",-104.9630,40.5873,1534,"COCORAHS","CO-LR-36"
"481676","CHEYENNE WFO",-104.8056,41.1522,1871,"COOP","481676"
"CO-LR-252","BELLVUE 1 NW",-105.1817,40.6350,1599,"COCORAHS","CO-LR-252"
"CO-WE-3","GREELEY 3.9",-104.6799,40.4505,1429,"COCORAHS","CO-WE-3"
"1149001","WYNNDEL NORT",-116.5833,49.2000,579,"EC","1149001"
"11011MF","BURNABY CARI",-122.9167,49.2500,13,"EC","11011MF"
"110FK0M","PORLIER PASS",-123.5833,49.0167,3,"EC","110FK0M"
"356550","PENDLETON WF",-118.8517,45.6911,460,"COOP","356550"
"CO-LR-259","FCL 2.5 W",-105.1317,40.5857,1560,"COCORAHS","CO-LR-259"
"CO-LR-240","ESTES PARK 2",-105.4878,40.4018,2369,"COCORAHS","CO-LR-240"
"CO-EP-12","COLORADO SPR",-104.7629,39.0988,2265,"COCORAHS","CO-EP-12"
"1D19P","Spuzzum Cree",-121.6500,49.6670,1180,"SNOWPILLOW","1D19P"
"DEFO","DEE FLAT",-121.6472,45.5736,384,"AGRIMET","DEFO"
"PNGO","PINEGROVE",-121.5056,45.6500,189,"AGRIMET","PNGO"
"CO-DG-30","FRANKTOWN 3.",-104.7043,39.4254,1951,"COCORAHS","CO-DG-30"
"1126071","PEACHLAND",-119.7167,49.7833,351,"EC","1126071"
"359464","WINCHESTER 3",-123.4167,43.2833,140,"COOP","359464"
"04128","RILEY 10 WSW",-119.6917,43.4711,1398,"WBAN","04128"
"050581","BEDROCK",-108.8903,38.3189,1518,"COOP","050581"
"03048","SOCORRO 20 N",-106.8850,34.3561,1481,"WBAN","03048"
"CO-DG-32","LITTLETON 7.",-104.8954,39.5531,1790,"COCORAHS","CO-DG-32"
"1123975","KELOWNA BOWE",-119.4667,49.8833,351,"EC","1123975"
"3044540","MILK RIVER E",-112.0500,49.0833,1046,"EC","3044540"
"485833","LUSK 25 NE",-104.0683,42.9375,1261,"COOP","485833"
"16A14S","MYRTLE CREEK",-116.4631,48.7225,1073,"SNOTEL","16A14S"
"19L43S","FORESTDALE C",-119.9597,38.6825,2447,"SNOTEL","19L43S"
"1103636","HUNTINGDON V",-122.2000,49.0333,25,"EC","1103636"
"3031328","CARDSTON EXP",-113.3000,49.2000,1166,"EC","3031328"
"94075","BOULDER 14 W",-105.5408,40.0353,3033,"WBAN","94075"
"3036620","TURIN EXP ST",-112.4333,50.0000,835,"EC","3036620"
"CO-LP-22","DURANGO .35",-107.8749,37.2736,2019,"COCORAHS","CO-LP-22"
"CO-JF-157","EVERGREEN 4.",-105.2789,39.5795,2378,"COCORAHS","CO-JF-157"
"CO-JF-10","DENVER 5.5 W",-105.0888,39.7191,1670,"COCORAHS","CO-JF-10"
"11J12S","FARMINGTON L",-111.8169,40.9919,2066,"SNOTEL","11J12S"
"049694","WILLOW CREEK",-123.6367,40.9467,141,"COOP","049694"
"101244","BUNGALOW RAN",-115.5000,46.6333,698,"COOP","101244"
"357554","SANTIAM JUNC",-121.9433,44.4356,1143,"COOP","357554"
"1105665","N VANCOUVER",-123.0667,49.3500,308,"EC","1105665"
"HDL","HOADLEY",-122.7500,40.6830,1396,"CDEC","HDL"
"RTL","RATTLESNAKE",-121.0430,40.1250,1859,"CDEC","RTL"
"1125852","OSOYOOS CS",-119.4333,49.0333,283,"EC","1125852"
"LFH","LEWISTON FIS",-122.7930,40.7270,570,"CDEC","LFH"
"244182","HINSDALE 23",-107.0833,48.7500,741,"COOP","244182"
"BRR","BARREL SPRIN",-119.9250,41.9160,1740,"CDEC","BRR"
"486603","MULE CREEK J",-104.2303,43.3836,1155,"COOP","486603"
"RKC","ROCK CREEK N",-118.6670,37.5510,2146,"CDEC","RKC"
"HUR","HURLEY",-121.4070,38.5870,11,"CDEC","HUR"
"026604","PINON",-110.2333,36.1000,1940,"COOP","026604"
"DNP","DON PEDRO RE",-120.4210,37.7020,253,"CDEC","DNP"
"427942","SNYDERVILLE",-111.5369,40.7039,1969,"COOP","427942"
"426640","PARIA RANGER",-111.9000,37.1047,1341,"COOP","426640"
"101831","CLARKIA RANG",-116.2664,47.0139,1006,"COOP","101831"
"054397","JONES PASS 2",-105.8500,39.7667,3148,"COOP","054397"
"052814","FAIRPLAY",-106.0000,39.2333,3050,"COOP","052814"
"485581","LINCH 10 ESE",-106.0167,43.5500,1513,"COOP","485581"
"452507","ELLENSBURG N",-120.5386,47.0294,520,"COOP","452507"
"CRK","CLARK TRAINI",-117.3030,33.8770,524,"CDEC","CRK"
"03027","CLINES CORNE",-105.6628,35.0028,2160,"WBAN","03027"
"429629","WOODSIDE",-110.3500,39.2667,1415,"COOP","429629"
"053446","GOULD 4SE S.",-106.0056,40.5092,2743,"COOP","053446"
"350854","BLY 3 NW",-121.1000,42.4333,1334,"COOP","350854"
"94182","MCCALL AIRPO",-116.1017,44.8889,1528,"WBAN","94182"
"NCS","NEWCASTLE-PI",-121.1350,38.8740,271,"CDEC","NCS"
"481569","CASPER WATER",-106.2914,42.8611,1554,"COOP","481569"
"4036841","ROBSART",-109.3500,49.3833,962,"EC","4036841"
"249187","YAAK 9 NNE",-115.6314,48.9500,937,"COOP","249187"
"PTV","POTTER VALLE",-123.1270,39.3620,329,"CDEC","PTV"
"056259","PAGOSA SPRIN",-107.0569,37.2758,2320,"COOP","056259"
"3043667","KNIGHT LAKE",-112.7333,49.2167,1219,"EC","3043667"
"026424","PERKINSVILLE",-112.2000,34.9000,1177,"COOP","026424"
"421418","CHURCH WELLS",-111.7667,37.1000,1378,"COOP","421418"
"3B23P","Jump Creek",-124.2830,48.9667,1160,"SNOWPILLOW","3B23P"
"026194","PAINTED ROCK",-113.0317,33.0772,183,"COOP","026194"
"1114474","LADNER CREEK",-121.2500,49.5000,807,"EC","1114474"
"OKB","OAK BOTTOM",-122.6060,40.6510,404,"CDEC","OKB"
"247088","RINGLING 1 E",-110.7667,46.2667,1623,"COOP","247088"
"LSA","LOS ALTOS HI",-122.1472,37.3581,610,"CDEC","LSA"
"354347","JUNIPER LAKE",-118.3333,42.9333,1251,"COOP","354347"
"DENI","DWORSHAK-DEN",-116.2206,46.6233,506,"AGRIMET","DENI"
"480206","ALVA",-104.4333,44.7000,1219,"COOP","480206"
"CJDW","CHIEF JOSEPH",-119.6356,47.9908,302,"AGRIMET","CJDW"
"485373","LANCE CREEK",-104.6500,43.2000,1275,"COOP","485373"
"FO2","FORT ORD #2",-121.7860,36.6270,149,"CDEC","FO2"
"SBMW","SEVEN BAYS M",-118.3411,47.8553,418,"AGRIMET","SBMW"
"BNDW","BONNEVILLE D",-121.9311,45.6478,24,"AGRIMET","BNDW"
"1104902","MAPLE RIDGE",-122.6167,49.2333,23,"EC","1104902"
"3034725","MOUNTAIN VIE",-113.6000,49.1333,1308,"EC","3034725"
"045978","MOUNT SAN JA",-116.6333,33.8000,2568,"COOP","045978"
"AMD","AMMO DUMP",-117.2860,33.3820,326,"CDEC","AMD"
"262820","FERGUSON SPR",-114.1833,40.4167,1780,"COOP","262820"
"052595","ELBERT 3 NW",-104.5833,39.2500,2086,"COOP","052595"
"357835","SIMNASHO",-121.3500,44.9667,732,"COOP","357835"
"054584","KIOWA 5 SE",-104.4333,39.2833,2071,"COOP","054584"
"486662","NEWCASTLE 14",-104.4833,43.8333,1260,"COOP","486662"
"LBRW","LAKE BRYAN-R",-117.6542,46.6975,192,"AGRIMET","LBRW"
"BMO","BRANCH MOUNT",-120.0830,35.1890,1149,"CDEC","BMO"
"3046950","WARNER",-112.2000,49.2833,1010,"EC","3046950"
"052162","DEER TRAIL 3",-104.0775,39.6419,1584,"COOP","052162"
"05R01S","SIERRA BLANC",-105.7872,33.4047,3133,"SNOTEL","05R01S"
"355067","LOSTINE 4 NE",-117.3736,45.5231,1152,"COOP","355067"
"1146000","PATERSON",-117.8167,49.0000,673,"EC","1146000"
"355788","MOUNT FANNY",-117.7333,45.3167,2141,"COOP","355788"
"480733","BILL 14 SE",-105.0167,43.1167,1382,"COOP","480733"
"486000","MARSHALL 7 S",-105.9333,42.2167,2138,"COOP","486000"
"245390","MARTINSDALE",-110.5500,46.5667,1678,"COOP","245390"
"3032820","GLENWOODVILL",-113.5167,49.3667,1067,"EC","3032820"
"262662","EMPIRE",-119.3500,40.5833,1205,"COOP","262662"
"CO-LR-312","FCL 3.1 NE",-105.0649,40.6240,1547,"COCORAHS","CO-LR-312"
"CO-JF-3","DENVER 6.1 W",-105.0985,39.7005,1699,"COCORAHS","CO-JF-3"
"CO-LR-391","FCL 3.0 SW",-105.1187,40.5407,1567,"COCORAHS","CO-LR-391"
"246195","NYE MOUAT MI",-109.9000,45.3833,2114,"COOP","246195"
"CO-DN-25","DENVER 2.1 E",-104.9489,39.7264,1646,"COCORAHS","CO-DN-25"
"04223","DARRINGTON 2",-121.4461,48.5406,115,"WBAN","04223"
"CO-BO-8","LAFAYETTE 0.",-105.1049,39.9917,1611,"COCORAHS","CO-BO-8"
"487770","RIVERTON 9 N",-108.3333,43.1333,1543,"COOP","487770"
"486081","MCFADDEN",-106.1333,41.6500,2199,"COOP","486081"
"487847","ROCK SPRINGS",-109.2394,41.5778,1911,"COOP","487847"
"CO-LR-468","LOV 1.2 W",-105.1114,40.4154,1555,"COCORAHS","CO-LR-468"
"108738","STIBNITE",-115.3333,44.9000,1998,"COOP","108738"
"1105659","NORTH VANCOU",-123.0833,49.3500,183,"EC","1105659"
"020404","ARIZONA CITY",-111.6928,32.7597,456,"COOP","020404"
"267693","SPARKS-HUMAN",-119.7386,39.5236,1340,"COOP","267693"
"CO-DG-29","CASTLE ROCK",-104.9496,39.3239,1963,"COCORAHS","CO-DG-29"
"457010","RICHARDSON 3",-122.8333,48.4333,9,"COOP","457010"
"261590","CATHEDRAL GO",-114.4069,37.8044,1472,"COOP","261590"
"450566","BELLINGHAM K",-122.4725,48.7422,91,"COOP","450566"
"04127","MURPHY 10 W",-116.7506,43.2044,1204,"WBAN","04127"
"94074","NUNN 7 NNE",-104.7550,40.8067,1653,"WBAN","94074"
"CO-CC-1","EVERGREEN 6.",-105.4400,39.6100,2468,"COCORAHS","CO-CC-1"
"bc65","Sumas Prairi",-122.1458,49.0725,100,"MoAg","bc65"
"1108820","WEST VANCOUV",-123.1667,49.3333,29,"EC","1108820"
"1125712","OK FALLS MCL",-119.5333,49.3500,455,"EC","1125712"
"CO-LR-75","FORT COLLINS",-105.1289,40.5538,1567,"COCORAHS","CO-LR-75"
"293428","GALLUP SAND",-108.7492,35.5269,1983,"COOP","293428"
"18A21S","SENTINEL BUT",-118.3986,48.8611,1500,"SNOTEL","18A21S"
"CO-JF-128","KITTREDGE 2.",-105.2793,39.6183,2475,"COCORAHS","CO-JF-128"
"JSD","JERSEYDALE",-119.8400,37.5420,1189,"CDEC","JSD"
"028566","THORNBURG RA",-112.4000,33.5667,335,"COOP","028566"
"19L41S","BURNSIDE LAK",-119.8942,38.7194,2481,"SNOTEL","19L41S"
"22F45S","TOKETEE AIRS",-122.4253,43.2272,988,"SNOTEL","22F45S"
"04222","REDDING 12 W",-122.6069,40.6508,430,"WBAN","04222"
"1149000","WYNNDEL",-116.5833,49.1667,597,"EC","1149000"
"243556","GLASGOW 46 S",-107.2311,47.6886,856,"COOP","243556"
"JAR","JARBO GAP",-121.4890,39.7360,823,"CDEC","JAR"
"3042056","DEL BONITA E",-112.8833,49.0833,1158,"EC","3042056"
"298087","SANTA FE 7 S",-105.9200,35.5433,2079,"COOP","298087"
"CO-AR-85","CHERRY CREEK",-104.7640,39.5845,1825,"COCORAHS","CO-AR-85"
"3032686","FORT MACLEOD",-113.4833,49.7667,953,"EC","3032686"
"298648","TAJIQUE",-106.2833,34.7500,2040,"COOP","298648"
"CO-EP-64","COLORADO SPR",-104.8537,38.8497,1888,"COCORAHS","CO-EP-64"
"CO-AR-71","BENNETT 11.3",-104.4680,39.5973,1787,"COCORAHS","CO-AR-71"
"049428","WALNUT GROVE",-121.5167,38.2333,6,"COOP","049428"
"050754","BLACK CANYON",-107.6869,38.5547,2484,"COOP","050754"
"486941","OSAGE 10 NNE",-104.3833,44.1333,1479,"COOP","486941"
"022705","DRAKE RANGER",-112.3833,34.9667,1418,"COOP","022705"
"CO-EP-7","CALHAN 3.1 N",-104.2931,39.0804,1939,"COCORAHS","CO-EP-7"
"027965","SKULL VALLEY",-112.6833,34.5000,1296,"COOP","027965"
"CO-GF-28","RIFLE 3.2 EN",-107.7288,39.5552,1668,"COCORAHS","CO-GF-28"
"1101580","CHILLIWACK Y",-121.9000,49.1833,8,"EC","1101580"
"026479","PHOENIX SOUT",-112.0500,33.3333,807,"COOP","026479"
"04125","JOHN DAY 35",-119.6458,44.5556,682,"WBAN","04125"
"CO-PU-21","PUEBLO 1.9 E",-104.5848,38.2948,1482,"COCORAHS","CO-PU-21"
"CO-FM-9","CANON CITY .",-105.2314,38.4298,1644,"COCORAHS","CO-FM-9"
"10253P0","NANAIMO CHUB",-123.9333,49.1667,21,"EC","10253P0"
"297605","ROSWELL CLIM",-104.5419,33.3800,1099,"COOP","297605"
"CO-FM-21","COTOPAXI 4.8",-105.6417,38.3086,2276,"COCORAHS","CO-FM-21"
"1121090","BROOKMERE",-120.8667,49.8167,972,"EC","1121090"
"CNF","COSUMNES R.",-120.8430,38.5900,256,"CDEC","CNF"
"08K03S","W FORK PARAC",-108.2167,39.6333,2377,"SNOTEL","08K03S"
"042224","CUNNINGHAM",-122.8667,38.9500,433,"COOP","042224"
"CO-EP-55","MONUMENT 2.9",-104.8590,39.1125,2214,"COCORAHS","CO-EP-55"
"CO-PU-15","PUEBLO 4.3 N",-104.5963,38.3162,1460,"COCORAHS","CO-PU-15"
"CO-DR-3","DOVE CREEK 1",-108.9951,37.6009,2013,"COCORAHS","CO-DR-3"
"WY-WH-1","TEN SLEEP 4.",-107.4734,44.1022,1381,"COCORAHS","WY-WH-1"
"CO-DN-49","DENVER 3.2 S",-104.9175,39.7200,1643,"COCORAHS","CO-DN-49"
"10J41S","ATWOOD LAKE",-110.2833,40.7333,3304,"SNOTEL","10J41S"
"CO-LR-320","FCL 1.7 SW",-105.1086,40.5570,1546,"COCORAHS","CO-LR-320"
"CO-JF-212","LITTLETON 6.",-105.1371,39.6082,1783,"COCORAHS","CO-JF-212"
"CO-WE-43","GREELEY 10.5",-104.6394,40.2917,1438,"COCORAHS","CO-WE-43"
"CO-LP-16","HESPERUS 5.7",-108.0916,37.2141,2284,"COCORAHS","CO-LP-16"
"RCM","ROCK CAMP",-117.2130,34.2880,1501,"CDEC","RCM"
"481172","BUFFALO 21 S",-106.6667,44.0667,1458,"COOP","481172"
"CO-LR-372","FCL 2.1 S",-105.0944,40.5468,1546,"COCORAHS","CO-LR-372"
"CO-MZ-30","DOLORES 4.8",-108.4177,37.4884,2174,"COCORAHS","CO-MZ-30"
"CO-DL-8","HOTCHKISS 9.",-107.8753,38.8511,1897,"COCORAHS","CO-DL-8"
"CO-FM-19","CANON CITY 1",-105.2194,38.4503,1630,"COCORAHS","CO-FM-19"
"CO-AR-26","CENTENNIAL 0",-104.8676,39.6005,1753,"COCORAHS","CO-AR-26"
"94082","DINOSAUR 2 E",-108.9678,40.2447,1848,"WBAN","94082"
"358410","THE DALLES 2",-121.1833,45.6000,85,"COOP","358410"
"CO-MT-5","MONTROSE 1.2",-107.8574,38.4729,1777,"COCORAHS","CO-MT-5"
"CO-AD-51","NORTHGLENN 3",-104.9562,39.9364,1610,"COCORAHS","CO-AD-51"
"CO-WE-25","GREELEY 4.4",-104.7914,40.4108,1463,"COCORAHS","CO-WE-25"
"1125707","OKANAGAN MIS",-119.4833,49.8167,359,"EC","1125707"
"06H25S","LITTLE SNAKE",-106.9428,41.0706,2717,"SNOTEL","06H25S"
"11H59S","LIGHTNING RI",-111.4875,41.3589,2504,"SNOTEL","11H59S"
"WY-NT-3","CASPER 4.4 W",-106.3988,42.8264,1569,"COCORAHS","WY-NT-3"
"357668","SELMA 4 E",-123.5281,42.2753,445,"COOP","357668"
"1106763","RICHMOND BRO",-123.1333,49.1333,1,"EC","1106763"
"CO-LR-413","FORT COLLINS",-105.1185,40.5393,1568,"COCORAHS","CO-LR-413"
"1101540","CHILLIWACK C",-121.9500,49.1833,6,"EC","1101540"
"1107H7R","SURREY WHITE",-122.7667,49.0333,55,"EC","1107H7R"
"3055289","PORCUPINE LO",-114.0167,49.9000,1783,"EC","3055289"
"028326","SUNRISE MOUN",-109.5631,33.9733,2856,"COOP","028326"
"112G8L1","SUMMERLAND C",-119.6333,49.5667,454,"EC","112G8L1"
"GRD","GIRARD",-122.2830,41.1330,1463,"CDEC","GRD"
"LIV","LIVERMORE",-121.8100,37.7110,244,"CDEC","LIV"
"457463","SEATTLE MAPL",-122.3167,47.7000,129,"COOP","457463"
"1047179","SECHELT 5WES",-123.8000,49.4667,61,"EC","1047179"
"TRS","TROUGH SPRIN",-122.6540,39.2960,1219,"CDEC","TRS"
"1102253","CYPRESS BOWL",-123.2000,49.4000,930,"EC","1102253"
"267806","STATELINE-HA",-119.9500,38.9667,1904,"COOP","267806"
"114B1F0","CRESTON CAMP",-116.5000,49.0833,646,"EC","114B1F0"
"1151915","CORBIN",-114.6500,49.5167,1572,"EC","1151915"
"4027482","SHAUNAVON CD",-108.4167,49.7500,908,"EC","4027482"
"026124","ORAIBI",-110.6167,35.8667,1715,"COOP","026124"
"20A41S","SWAMP CREEK",-120.7825,48.5714,1219,"SNOTEL","20A41S"
"1106300","PORT KELLS",-122.7000,49.1500,9,"EC","1106300"
"GVO","GRASS VALLEY",-122.7600,40.6250,828,"CDEC","GVO"
"1010066","ACTIVE PASS",-123.2833,48.8667,4,"EC","1010066"
"291721","CHAPARRAL",-106.4106,32.0175,1220,"COOP","291721"
"05M17S","UTE CREEK",-105.2239,37.3689,3246,"SNOTEL","05M17S"
"245000","LIBBY",-115.5578,48.3806,652,"COOP","245000"
"TNC","TRINITY CAMP",-122.8330,40.6790,640,"CDEC","TNC"
"052597","ELBERT 3 SE",-104.5000,39.2000,2059,"COOP","052597"
"1131615","CHRISTIAN VA",-118.7500,49.6500,805,"EC","1131615"
"262477","EASTGATE",-117.8833,39.3000,1531,"COOP","262477"
"041475","CANBY 11SW",-121.0500,41.3667,1373,"COOP","041475"
"PCH","PANOCHE ROAD",-120.6400,36.6360,152,"CDEC","PCH"
"424233","IOSEPA SOUTH",-112.7500,40.5000,1327,"COOP","424233"
"4032322","EASTEND CYPR",-108.9833,49.4333,1080,"EC","4032322"
"06N16S","VACAS LOCAS",-106.4881,36.0158,2836,"SNOTEL","06N16S"
"020415","ARIZONA SONO",-111.1667,32.2500,860,"COOP","020415"
"94107","ROME STATE A",-117.8644,42.4239,1234,"WBAN","94107"
"486664","NEWCASTLE 15",-104.1333,43.6667,1208,"COOP","486664"
"KFLW","KETTLE FALLS",-118.1242,48.5950,408,"AGRIMET","KFLW"
"1106179","PITT MEADOWS",-122.6833,49.2333,6,"EC","1106179"
"488157","SHERIDAN GIR",-106.9694,44.7600,1202,"COOP","488157"
"1123993","KELOWNA QUAI",-119.5667,49.8500,417,"EC","1123993"
"244120","HIGHWOOD",-110.7833,47.5500,1138,"COOP","244120"
"109698","WESTON",-111.9617,42.0358,1451,"COOP","109698"
