AQC00914000        1166P
USC00139067         233S
USC00139132         228S
USC00139750         219S
USC00140010         211S
USC00140135         156S
USC00140195         245C
USC00140201         178P
USC00140313         244S
USC00140365         152C
USC00140405         244S
USC00140439         150S
USC00140441         149S
USC00140443         249S
USC00140447         246S
USC00140548         295P
USC00140620         157P
USC00140676         153S
USC00140679         245P
USC00140682         201S
USC00140693         187S
USC00140836         122S
USC00140865         157P
USC00140877         233P
USC00140911         210S
USC00140957         267S
USC00141003         216S
USC00141029         126P
USC00141057         218S
USC00141104         158S
USC00141141         154S
USC00141179         166P
USC00141202         241S
USC00141233         226S
USC00141239         248S
USC00141351         246S
USC00141355         155P
USC00141371         178S
USC00141383         139S
USC00141395         245S
USC00141404         282P
USC00141408         232P
USC00141425         216P
USC00141435         211P
USC00141452         185S
USC00141478         293P
USC00141522         150S
USC00141536         196S
USC00141559         202S
USC00141593         197S
USC00141612         250S
USC00141699         130C
USC00141704         173C
USC00141730         139S
USC00141740         290S
USC00141795         219S
USC00141858         247S
USC00141867         233S
USC00141875         188S
USC00141999         152C
USC00142086         143S
USC00142135         209S
USC00142213         142S
USC00142267         234S
USC00142388         249S
USC00142401         243S
USC00142409         269P
USC00142432         117S
USC00142452         143S
USC00142459         190P
USC00142478         225P
USC00142519         237P
USC00142548         250S
USC00142574         216S
USC00142582         275P
USC00142592         168P
USC00142602         243P
USC00142622         263S
USC00142652         200S
USC00142686         251S
USC00142773         226S
USC00142835         290S
USC00142848         225S
USC00142872         222P
USC00142894         271P
USC00142945         284S
USC00142980         123S
USC00143008         276S
USC00143037         173P
USC00143074         296P
USC00143100         167S
USC00143134         217P
USC00143138         230S
USC00143175         141S
USC00143218         163S
USC00143239         156S
USC00143248         257S
USC00143257         270P
USC00143323         214C
USC00143331         289P
USC00143398         219P
USC00143467         254P
USC00143523         162P
USC00143527         156S
USC00143554         140C
USC00143594         231S
USC00143634         216S
USC00143665         154S
USC00143667         221S
USC00143686         259P
USC00143759         246S
USC00143810         243S
USC00143822         254S
USC00143837         135S
USC00143842         258P
USC00143847         186C
USC00143855         126S
USC00143867         281P
USC00143897         178P
USC00143929         221P
USC00143930         194S
USC00143954         293S
USC00143974         213C
USC00143984         282S
USC00143997         173S
USC00144073         147P
USC00144087         155S
USC00144089         171S
USC00144104         255S
USC00144114         110P
USC00144161         136S
USC00144166         131P
USC00144178         184S
USC00144313         208S
USC00144333         167S
USC00144421         284S
USC00144464         119S
USC00144530         167P
USC00144559         266S
USC00144588         274S
USC00144598         191S
USC00144608         265C
USC00144613         255S
USC00144642         140S
USC00144665         124S
USC00144675         283S
USC00144695         128S
USC00144708         222C
USC00144712         183S
USC00144729         240P
USC00144735         202S
USC00144775         144S
USC00144802         210P
USC00144807         165S
USC00144812         281S
USC00144821         157C
USC00144857         174S
USC00144912         255P
USC00144937         258S
USC00144972         221S
USC00144982         181S
USC00145039         218S
USC00145063         225S
USC00145069         245S
USC00145115         148P
USC00145127         130C
USC00145132         230C
USC00145152         211S
USC00145171         156S
USC00145173         195P
USC00145210         255S
USC00145306         212S
USC00145335         204S
USC00145355         121S
USC00145363         203P
USC00145421         134P
USC00145463         281S
USC00145483         149P
USC00145528         291S
USC00145536         299S
USC00145539         215S
USC00145628         169C
USC00145692         148S
USC00145744         211S
USC00145768         202P
USC00145787         138S
USC00145852         174P
USC00145856         140S
USC00145870         216S
USC00145888         126S
USC00145892         129P
USC00145906         149S
USC00145920         155S
USC00145972         265S
USC00146014         229S
USC00146076         280P
USC00146084         269S
USC00146088         201P
USC00146100         265S
USC00146115         293C
USC00146128         262S
USC00146154         268S
USC00146169         236P
USC00146192         160S
USC00146209         274S
USC00146217         218S
USC00146242         291C
USC00146305         250S
USC00146333         255S
USC00146340         233P
USC00146378         163P
USC00146414         294S
USC00146435         168P
USC00146498         256S
USC00146524         230S
USC00146549         185S
USC00146637         141P
USC00146679         207P
USC00146685         152S
USC00146725         265P
USC00146787         146S
USC00146808         114S
USC00146813          99S
USC00146979         248S
USC00147007         231C
USC00147049         129P
USC00147050         105P
USC00147075         240P
USC00147093         107S
USC00147095         115S
USC00147140         171S
USC00147248         197P
USC00147271         128C
USC00147305         273S
USC00147313         214P
USC00147397         127S
USC00147534         270P
USC00147542         164C
USC00147796         194C
USC00147809         286S
USC00147832         164P
USC00147904         137S
USC00147922         118S
USC00147968         185P
USC00148038         106S
USC00148086         196S
USC00148114         257S
USC00148156         271S
USC00148235         107C
USC00148245         168S
USC00148250         249S
USC00148257         194P
USC00148259         209S
USC00148287         117S
USC00148293         291P
USC00148323         154S
USC00148341         257S
USC00148495         149C
USC00148498         140S
USC00148503         209S
USC00148549         299S
USC00148563         219S
USC00148578         217S
USC00148648         157S
USC00148670         225S
USC00148802         217S
USC00148892         275S
USC00148911         223P
USC00148914         177P
USC00148946         169S
USC00148964         254S
USC00148988         125S
USC00149026         241S
USC00149040         270P
USC00149080         279S
USC00150012         368S
USC00150063         369S
USC00150254         291S
USC00150381         351S
USC00150397         345P
USC00150402         380P
USC00150422         350C
USC00150450         346S
USC00150490         334S
USC00150619         319P
USC00150630         354S
USC00150700         348S
USC00150804         327S
USC00150875         315S
USC00150904         365S
USC00150906         323S
USC00150940         345S
USC00151080         340P
USC00151090         315P
USC00151120         327P
USC00151137         353P
USC00151210         359S
USC00151227         299S
USC00151294         356S
USC00151306         350P
USC00151318         294P
USC00151391         350P
USC00151640         403S
USC00151725         351S
USC00151727         351P
USC00151890         336S
USC00151900         351P
USC00151965         317P
USC00151998         297P
USC00152040         317S
USC00152072         340C
USC00152214         280S
USC00152250         289P
USC00152358         351P
USC00152366         361P
USC00152409         305P
USC00152500         331S
USC00152512         365P
USC00152548         346P
USC00152775         282S
USC00152791         313S
USC00152825         289S
USC00153006         349P
USC00153030         343P
USC00153052         365P
USC00153112         338P
USC00153194         313P
USC00153203         309P
USC00153223         343P
USC00153246         357S
USC00153252         365S
USC00153382         352P
USC00153389         283P
USC00153391         279P
USC00153398         296S
USC00153430         359S
USC00153435         353P
USC00153712         317P
USC00153714         335C
USC00153741         313P
USC00153762         303S
USC00153768         316S
USC00153994         349P
USC00154208         362P
USC00154369         328S
USC00154620         321P
USC00154703         344S
USC00154732         338P
USC00154755         373P
USC00154848         246S
USC00154857         301P
USC00154905         345S
USC00154946         302P
USC00154955         300S
USC00154967         331P
USC00155067         328S
USC00155072         331P
USC00155097         361P
USC00155111         365P
USC00155175         293P
USC00155235         355S
USC00155243         298P
USC00155370         292P
USC00155524         344S
USC00155559         348P
USC00155640         313P
USC00155648         334C
USC00155694         380S
USC00155834         356S
USC00156028         349S
USC00156091         321P
USC00156094         328P
USC00156117         316P
USC00156136         297S
USC00156155         321P
USC00156170         322S
USC00156360         299P
USC00156379         359P
USC00156580         340S
USC00156595         304S
USC00156810         315S
USC00156882         352S
USC00156988         338S
USC00157134         298P
USC00157215         352S
USC00157234         319S
USC00157324         334P
USC00157334         333S
USC00157431         321S
USC00157441         337P
USC00157508         341P
USC00157510         343S
USC00157604         321C
USC00157648         324P
USC00157677         360S
USC00157800         326S
USC00158070         365P
USC00158348         289P
USC00158446         313S
USC00158551         300S
USC00158709         340S
USC00158714         290P
USC00158824         335S
USC00160007         383S
USC00160016         352P
USC00160021         403S
USC00160098         381C
USC00160103         364P
USC00160205         401S
USC00160238         362P
USC00160349         357C
USC00160462         382S
USC00160537         364S
USC00160546         392P
USC00160548         386P
USC00160558         390C
USC00160565         375S
USC00160617         396S
USC00160800         385S
USC00160945         396P
USC00161232         389S
USC00161235         367P
USC00161246         386P
USC00161287         376S
USC00161365         354P
USC00161411         356C
USC00161535         397P
USC00161565         383S
USC00161891         397P
USC00161899         371S
USC00161941         370P
USC00161979         373C
USC00162002         387P
USC00162121         352S
USC00162145         341P
USC00162151         395S
USC00162212         386S
USC00162350         382S
USC00162361         366P
USC00162367         377S
USC00162534         375S
USC00162641         355P
USC00162800         380P
USC00162812         383P
USC00162981         365C
USC00163165         393P
USC00163313         412S
USC00163322         382P
USC00163327         412P
USC00163331         425P
USC00163433         389S
USC00163695         385S
USC00163741         386P
USC00163800         388C
USC00163804         334P
USC00163807         340P
USC00163829         387P
USC00163867         404P
USC00163877         369P
USC00163979         355P
USC00164030         384S
USC00164034         381P
USC00164050         351P
USC00164288         364S
USC00164355         370S
USC00164398         337S
USC00164407         387P
USC00164592         336P
USC00164674         396S
USC00164696         371P
USC00164700         370C
USC00164732         375S
USC00164739         374S
USC00164775         355P
USC00164816         343S
USC00164859         405P
USC00165021         388P
USC00165074         374C
USC00165076         375P
USC00165090         350C
USC00165266         357C
USC00165287         376P
USC00165296         396P
USC00165430         398P
USC00165438         382S
USC00165522         346P
USC00165527         354P
USC00165610         348P
USC00165620         372S
USC00165624         389P
USC00165630         366C
USC00165783         374P
USC00165874         324P
USC00165892         356S
USC00165896         346P
USC00165908         389P
USC00165935         381P
USC00166244         356S
USC00166314         358S
USC00166364         338S
USC00166394         372C
USC00166431         409P
USC00166466         374P
USC00166582         352S
USC00166657         382P
USC00166666         378P
USC00166686         372S
USC00166836         370S
USC00166866         358S
USC00166868         339P
USC00166911         401S
USC00166938         393C
USC00166978         362S
USC00166995         393S
USC00167096         399S
USC00167304         443S
USC00167344         341P
USC00167366         388S
USC00167425         382P
USC00167448         384S
USC00167691         370P
USC00167729         332P
USC00167732         377P
USC00167738         328C
USC00167767         405S
USC00167924         337S
USC00167932         365S
USC00168046         374S
USC00168067         347S
USC00168094         344P
USC00168108         385P
USC00168136         379S
USC00168139         364P
USC00168163         362S
USC00168181         413P
USC00168405         461P
USC00168436         329S
USC00168539         381S
USC00168543         378P
USC00168669         371P
USC00168785         356P
USC00168831         398C
USC00168861         362P
USC00168923         363S
USC00168941         388P
USC00169013         424P
USC00169357         367S
USC00169369         373P
USC00169392         341P
USC00169480         354P
USC00169631         332P
USC00169803         365P
USC00169806         358S
USC00169809         377P
USC00169930         384S
USC00170100         371S
USC00170177         317P
USC00170200         219P
USC00170398         325P
USC00170409         332P
USC00170480         337S
USC00170600         303P
USC00170655         295P
USC00170814         283S
USC00170833         299S
USC00171472         231P
USC00171628         299S
USC00171833         303P
USC00171975         267S
USC00172048         330P
USC00172238         326S
USC00172426         302P
USC00172602         336P
USC00172620         310P
USC00172700         257P
USC00172765         312C
USC00172878         239S
USC00173046         314S
USC00173261         305S
USC00173295         336P
USC00173417         311S
USC00173567         279S
USC00173570         347P
USC00173588         249S
USC00173862         347P
USC00173944         279P
USC00174086         262C
USC00174183         347P
USC00174193         345P
USC00174324         322S
USC00174566         301S
USC00174781         272S
USC00174817         318P
USC00174878         354S
USC00174927         267S
USC00175261         245S
USC00175304         275S
USC00175460         262S
USC00175675         319S
USC00175736         335P
USC00176430         243P
USC00176705         290P
USC00176721         287P
USC00176856         327P
USC00176881         331P
USC00176937         223S
USC00177037         266C
USC00177039         262P
USC00177174         323P
USC00177238         354P
USC00177325         309S
USC00177479         348S
USC00177654         316P
USC00178353         304P
USC00178965         239S
USC00178974         302S
USC00179151         294C
USC00179294         329P
USC00179314         326S
USC00179538         277P
USC00179593         343S
USC00179891         320S
USC00180193         322P
USC00180335         290S
USC00180700         291S
USC00180732         324P
USC00181530         329S
USC00181750         309C
USC00181862         302P
USC00181995         308P
USC00182060         324S
USC00182282         252S
USC00182325         316S
USC00182335         294P
USC00182336         322P
USC00182770         281P
USC00182906         312S
USC00183348         280P
USC00183415         289C
USC00183675         295P
USC00184030         262P
USC00185080         311P
USC00185111         332S
USC00185832         316P
USC00185865         324S
USC00185894         260P
USC00185934         299P
USC00186350         302S
USC00186620         317S
USC00186770         295P
USC00187272         282S
USC00187330         292P
USC00187705         275P
USC00187806         322S
USC00188000         310S
USC00188065         257S
USC00188380         315C
USC00189030         299P
USC00189070         304S
USC00189140         294S
USC00189440         290P
USC00189750         322P
USC00190120         312S
USC00190190         342S
USC00190213         348S
USC00190408         313S
USC00190535         327S
USC00190551         367P
USC00190562         332S
USC00190593         331P
USC00190666         334S
USC00190759         352P
USC00190860         334S
USC00190998         338P
USC00191386         316S
USC00191436         343P
USC00191611         352P
USC00192107         322S
USC00192451         348S
USC00192501         323S
USC00192997         338S
USC00193052         331P
USC00193213         293P
USC00193276         344P
USC00193401         347P
USC00193405         319P
USC00193471         327P
USC00193505         329S
USC00193549         347P
USC00193624         346S
USC00193702         302P
USC00193821         303S
USC00193876         340P
USC00193985         330P
USC00194075         310P
USC00194313         320S
USC00194502         316P
USC00194580         335S
USC00194711         343S
USC00194744         311C
USC00194760         330P
USC00195175         312S
USC00195246         347P
USC00195285         325S
USC00195306         363P
USC00195524         332S
USC00195984         351S
USC00196245         322P
USC00196435         334P
USC00196486         347S
USC00196783         340S
USC00196938         351S
USC00197627         351P
USC00198278         324C
USC00198367         325P
USC00198573         321S
USC00198757         333S
USC00198793         329S
USC00199316         324P
USC00199371         318P
USC00199972         362P
USC00200032         229S
USC00200094         248S
USC00200128         263P
USC00200146         207C
USC00200230         239C
USC00200417         193S
USC00200446         191P
USC00200632         188P
USC00200718         215S
USC00200779         223S
USC00200864         245S
USC00200925         181C
USC00201299         199P
USC00201361         199S
USC00201439         191P
USC00201468         178P
USC00201476         203P
USC00201486         188P
USC00201492         171S
USC00201502         207P
USC00201675         239S
USC00201802         171P
USC00201896         163S
USC00202015         221S
USC00202094         170S
USC00202140         227P
USC00202250         256S
USC00202381         171C
USC00202395         189S
USC00202423         196S
USC00202437         210P
USC00202445         230S
USC00202631         208P
USC00202851         198S
USC00202984         197S
USC00203096         198S
USC00203099         192P
USC00203290         208P
USC00203306         211S
USC00203391         196S
USC00203429         217C
USC00203477         218S
USC00203504         261S
USC00203529         189S
USC00203585         216P
USC00203628         176P
USC00203632         240P
USC00203661         231S
USC00203744         196S
USC00203769         194P
USC00203823         239S
USC00203858         238P
USC00203932         182P
USC00203947         199S
USC00203969         220P
USC00204078         219S
USC00204090         188S
USC00204104         196S
USC00204257         182C
USC00204320         221S
USC00204502         176S
USC00204655         212S
USC00204939         206P
USC00204944         250S
USC00205065         213P
USC00205097         203S
USC00205434         199S
USC00205531         163P
USC00205558         220P
USC00205567         215S
USC00205603         246S
USC00205662         217P
USC00205690         200P
USC00205892         243C
USC00206007         167P
USC00206012         155P
USC00206158         158P
USC00206184         164S
USC00206220         169S
USC00206300         203S
USC00206507         172S
USC00206658         192P
USC00206680         201S
USC00207094         179S
USC00207190         179P
USC00207222         207S
USC00207274         166P
USC00207280         212S
USC00207350         205P
USC00207364         175P
USC00207742         188P
USC00207812         165S
USC00207820         195S
USC00207867         187S
USC00208184         238S
USC00208293         196P
USC00208417         168S
USC00208468         214P
USC00208680         162P
USC00208772         204S
USC00208800         190S
USC00208890         233P
USC00208920         157S
USC00209006         197P
USC00209188         200S
USC00210018         143S
USC00210050         132P
USC00210059         178P
USC00210075         217S
USC00210157         203P
USC00210252         108S
USC00210287         155C
USC00210387         172P
USC00210515         129P
USC00210667         169S
USC00210852         215P
USC00210939         173S
USC00210981         207P
USC00210989         162S
USC00211063         161S
USC00211074         204P
USC00211107         186P
USC00211198         227S
USC00211245         153P
USC00211263         175S
USC00211303         115P
USC00211374         154P
USC00211390         207P
USC00211448         180P
USC00211465         197P
USC00211630         190C
USC00211669         193P
USC00211691         193S
USC00211891         125S
USC00212038         142S
USC00212142         171P
USC00212486         220S
USC00212500         199S
USC00212543         176P
USC00212645         153P
USC00212698         207S
USC00212721         203S
USC00212737         197S
USC00212768         164P
USC00212842         169P
USC00212881         187S
USC00212916         143P
USC00213076         206P
USC00213174         165S
USC00213282         155S
USC00213290         226S
USC00213303         161C
USC00213311         169P
USC00213411         156S
USC00213417         158P
USC00213455         112P
USC00213520         220S
USC00213567         193S
USC00213793         209S
USC00213962         172S
USC00214008         146S
USC00214103         164P
USC00214106         166S
USC00214176         202S
USC00214306         164P
USC00214418         233C
USC00214438         215P
USC00214453         171P
USC00214534         192S
USC00214546         177S
USC00214563         227S
USC00214652         161S
USC00214778         185P
USC00214793         166S
USC00214809         147P
USC00214861         190S
USC00214884         206P
USC00214918         210P
USC00214937         189P
USC00214994         152S
USC00215012         127P
USC00215073         209P
USC00215175         156P
USC00215204         177S
USC00215325         179S
USC00215392         199S
USC00215400         164S
USC00215482         165P
USC00215488         206S
USC00215563         176S
USC00215571         216P
USC00215586         164P
USC00215598         191S
USC00215615         188S
USC00215638         155S
USC00215838         216P
USC00215842         206S
USC00215887         191S
USC00216152         179S
USC00216166         183P
USC00216228         146P
USC00216276         173P
USC00216287         207S
USC00216405         155S
USC00216547         178S
USC00216565         173S
USC00216612         159S
USC00216654         216S
USC00216787         139S
USC00216795         150P
USC00216817         207S
USC00216822         196S
USC00216839         191P
USC00217020         196S
USC00217107         220P
USC00217149         162S
USC00217157         173P
USC00217184         225P
USC00217326         205P
USC00217377         207P
USC00217405         206S
USC00217460         168P
USC00217502         211S
USC00217907         186C
USC00218025         207P
USC00218037         210P
USC00218227         219P
USC00218311         159S
USC00218323         182S
USC00218419         188S
USC00218429         177S
USC00218450         188P
USC00218477         199P
USC00218520         180S
USC00218552         219S
USC00218579         173C
USC00218618         175S
USC00218679         140S
USC00218692         228S
USC00218808         199P
USC00218907         158S
USC00219004         180S
USC00219033         190S
USC00219046         200S
USC00219059         159S
USC00219067         223P
USC00219072         203S
USC00219085         216P
USC00219101         163P
USC00219134         195P
USC00219170         177S
USC00219173         190S
USC00219208         206P
USC00219249         221S
USC00220008         404S
USC00220021         362S
USC00220039         387P
USC00220173         375P
USC00220237         364S
USC00220290         395S
USC00220378         372S
USC00220488         342S
USC00220521         383S
USC00220585         370P
USC00220660         352S
USC00220792         375P
USC00220955         384S
USC00221094         396S
USC00221111         357P
USC00221152         391S
USC00221174         391C
USC00221262         357P
USC00221314         372S
USC00221389         361P
USC00221489         368S
USC00221578         389S
USC00221606         407P
USC00221707         353S
USC00221738         327P
USC00221743         347P
USC00221804         388S
USC00221852         383S
USC00221860         369S
USC00221865         398S
USC00221880         372S
USC00221962         381S
USC00222034         401P
USC00222046         376S
USC00222094         405P
USC00222385         378C
USC00222658         380P
USC00222773         362S
USC00222896         368S
USC00223107         404S
USC00223208         395S
USC00223340         379S
USC00223605         339P
USC00223645         379S
USC00223671         393P
USC00223700         369C
USC00223887         395S
USC00223920         386S
USC00223975         361S
USC00224001         395S
USC00224173         389S
USC00224265         379P
USC00224377         354C
USC00224455         398S
USC00224702         361P
USC00224776         400S
USC00224816         392P
USC00224842         341S
USC00224869         374P
USC00224939         376C
USC00224966         394S
USC00225062         350S
USC00225247         393P
USC00225361         378P
USC00225611         390P
USC00225704         403P
USC00225897         391P
USC00225943         363C
USC00225987         394S
USC00226009         356C
USC00226084         371S
USC00226177         388S
USC00226256         384S
USC00226294         356P
USC00226308         371S
USC00226476         367S
USC00226484         390P
USC00226718         388S
USC00226750         375P
USC00226811         391P
USC00226894         383S
USC00226921         421S
USC00227066         374P
USC00227106         382S
USC00227111         387S
USC00227128         399S
USC00227132         364S
USC00227172         385P
USC00227220         374S
USC00227444         374P
USC00227467         388S
USC00227537         371P
USC00227560         346C
USC00227807         371S
USC00227815         375S
USC00227840         411S
USC00227921         371C
USC00228053         371S
USC00228145         376P
USC00228374         385S
USC00228413         383P
USC00228445         338S
USC00228556         380S
USC00228998         352S
USC00229006         366P
USC00229048         397S
USC00229072         399P
USC00229079         394S
USC00229114         367S
USC00229157         418P
USC00229173         387P
USC00229216         368P
USC00229326         405S
USC00229400         393S
USC00229426         385S
USC00229439         375S
USC00229597         377S
USC00229639         400P
USC00229743         372S
USC00229793         404S
USC00229860         375S
USC00230088         328P
USC00230127         313P
USC00230143         253S
USC00230164         299S
USC00230204         289S
USC00230224         335P
USC00230304         302S
USC00230539         318P
USC00230595         320P
USC00230608         256S
USC00230657         302P
USC00230735         340P
USC00230789         319S
USC00230817         279S
USC00230856         266S
USC00230980         271S
USC00231037         264S
USC00231087         307P
USC00231145         281C
USC00231189         288C
USC00231212         322P
USC00231275         260S
USC00231304         295S
USC00231340         267S
USC00231356         282P
USC00231364         346S
USC00231383         305S
USC00231467         392P
USC00231482         275P
USC00231540         329P
USC00231580         257S
USC00231640         266P
USC00231674         314S
USC00231704         289P
USC00231711         293S
USC00231773         264S
USC00231801         299P
USC00231822         251S
USC00231837         275S
USC00232220         287P
USC00232240         307S
USC00232289         339S
USC00232302         316S
USC00232318         280P
USC00232482         266S
USC00232503         297S
USC00232511         311P
USC00232568         280P
USC00232591         274S
USC00232619         304P
USC00232809         297P
USC00232850         306P
USC00233038         313C
USC00233043         309S
USC00233079         290C
USC00233094         308S
USC00233102         287P
USC00233329         249P
USC00233369         243S
USC00233451         326P
USC00233483         295P
USC00233568         257S
USC00233601         270C
USC00233793         296S
USC00233838         271P
USC00234019         300P
USC00234023         314S
USC00234136         299S
USC00234154         297P
USC00234226         342S
USC00234271         286C
USC00234382         257P
USC00234417         341S
USC00234505         264S
USC00234544         277S
USC00234637         248P
USC00234694         289S
USC00234705         355C
USC00234825         296S
USC00234850         293S
USC00234904         280S
USC00234919         313S
USC00235027         308S
USC00235050         275P
USC00235098         243S
USC00235207         294P
USC00235227         312S
USC00235253         340S
USC00235307         295C
USC00235340         244S
USC00235492         240P
USC00235541         285P
USC00235578         260S
USC00235671         291S
USC00235704         310S
USC00235834         327C
USC00235862         295S
USC00235976         323C
USC00235987         298S
USC00236012         282S
USC00236045         332S
USC00236269         265P
USC00236302         318P
USC00236357         245P
USC00236402         295S
USC00236452         296S
USC00236460         306S
USC00236468         291P
USC00236493         256S
USC00236563         242C
USC00236641         304S
USC00236678         297S
USC00236739         260P
USC00236745         280P
USC00236760         284P
USC00236775         264P
USC00236791         324S
USC00236804         321S
USC00236826         291P
USC00236866         250S
USC00236970         289S
USC00237105         278P
USC00237114         281P
USC00237263         324C
USC00237300         304S
USC00237309         303P
USC00237397         289S
USC00237398         278S
USC00237475         283P
USC00237506         321S
USC00237514         287S
USC00237578         250S
USC00237632         282S
USC00237645         330P
USC00237720         276P
USC00237772         347P
USC00237963         256S
USC00238051         261S
USC00238082         298S
USC00238171         308P
USC00238188         272P
USC00238223         273S
USC00238313         305S
USC00238444         271P
USC00238466         276S
USC00238515         296S
USC00238523         272P
USC00238524         284S
USC00238561         306S
USC00238577         271P
USC00238603         298S
USC00238620         306S
USC00238664         291S
USC00238746         294P
USC00238754         297P
USC00238777         306S
USC00238805         280P
USC00238880         313S
USC00238910         335P
USC00238984         322S
USC00240088          86P
USC00240110          62S
USC00240115          47P
USC00240199          48S
USC00240364          66S
USC00240375          72P
USC00240392          92S
USC00240412          76S
USC00240432          56P
USC00240636          80S
USC00240739          76P
USC00240743          81S
USC00240755         103S
USC00240770          71S
USC00240775          70P
USC00240780          77S
USC00240801          53P
USC00240802          70S
USC00240819          64P
USC00241008          39S
USC00241044          85S
USC00241047          65S
USC00241050         192P
USC00241081          50P
USC00241084          68S
USC00241088          63S
USC00241102          52P
USC00241127          68S
USC00241169          59S
USC00241231          81C
USC00241297          67S
USC00241470          36P
USC00241518          79S
USC00241525          61S
USC00241552          88S
USC00241557          65S
USC00241692          44S
USC00241722          65S
USC00241737          50S
USC00241758          71S
USC00241875          59S
USC00241905          72S
USC00241938          71S
USC00241974          58S
USC00241984          68S
USC00241995          89S
USC00242104          76S
USC00242122          65S
USC00242221          63P
USC00242266          42P
USC00242275          42P
USC00242301          71S
USC00242347          68S
USC00242409          49S
USC00242421          40S
USC00242438          64S
USC00242689          84S
USC00242793          50S
USC00242820          65P
USC00242827          54S
USC00242857          56S
USC00242996          93S
USC00243013          61C
USC00243089          58P
USC00243098          70S
USC00243110          56S
USC00243113          52S
USC00243139          56P
USC00243157          43P
USC00243176          60S
USC00243346          61S
USC00243366         108S
USC00243378          34P
USC00243445          67S
USC00243486          74P
USC00243489          75S
USC00243530          53S
USC00243554          55P
USC00243570          32S
USC00243581          66S
USC00243617          67S
USC00243707          33S
USC00243727          88S
USC00243753          65P
USC00243885          35S
USC00243915          60P
USC00243929          48S
USC00243939          60S
USC00244038         142S
USC00244084         183S
USC00244174          40S
USC00244180          80S
USC00244241          59S
USC00244328         187S
USC00244345          61S
USC00244358          70S
USC00244364          56S
USC00244386          57S
USC00244447          37S
USC00244506          62S
USC00244512          50S
USC00244522          58S
USC00244530          57P
USC00244538          68P
USC00244545          70P
USC00244558          53C
USC00244715          84S
USC00244820          85P
USC00244894          66P
USC00244954          62S
USC00244978         118S
USC00245011          62P
USC00245015          71S
USC00245020          89S
USC00245030          42S
USC00245040          64P
USC00245043          87S
USC00245045          73S
USC00245080          65C
USC00245153          57C
USC00245285          57P
USC00245303          71S
USC00245338          56S
USC00245340          64S
USC00245387          54S
USC00245533          85P
USC00245572          63S
USC00245596          72S
USC00245603          92S
USC00245608          56S
USC00245668          70S
USC00245712          88P
USC00245735          60S
USC00245754          64S
USC00245761          72S
USC00245811          51P
USC00245870          61S
USC00245872          69P
USC00245961         111C
USC00246008         114P
USC00246157          81S
USC00246190          85S
USC00246218          99S
USC00246236          67S
USC00246238          54S
USC00246304          38S
USC00246472          53P
USC00246586          64S
USC00246601          69S
USC00246615          71P
USC00246635          55S
USC00246640          56S
USC00246647          55P
USC00246655          89P
USC00246672          58P
USC00246685          52S
USC00246691          76P
USC00246700          52C
USC00246747          74P
USC00246862          71S
USC00246893          75S
USC00246902          98S
USC00246918         118S
USC00246927          69S
USC00247034          68S
USC00247128          61C
USC00247136          57S
USC00247159          88S
USC00247214          75S
USC00247228          62P
USC00247234          70P
USC00247263          54S
USC00247265          53S
USC00247286          71S
USC00247292         130S
USC00247318          70S
USC00247382          74S
USC00247425          63P
USC00247448          81S
USC00247500          53P
USC00247540         146P
USC00247560          69S
USC00247618          53P
USC00247620          55S
USC00247740          82S
USC00247800          64S
USC00247864          75S
USC00247894          41S
USC00247964          49S
USC00247996          66S
USC00248021          62S
USC00248165          59P
USC00248169          68S
USC00248211          79S
USC00248233          43S
USC00248324          33S
USC00248363          64P
USC00248380         146S
USC00248390         115P
USC00248415          51P
USC00248430          34S
USC00248498          67P
USC00248501          59S
USC00248569          74S
USC00248597          65S
USC00248693          77P
USC00248732          76S
USC00248783          32S
USC00248809         137S
USC00248902          79P
USC00248930          48S
USC00248939          63S
USC00248957          70S
USC00249023          94C
USC00249033          77S
USC00249067          34S
USC00249082          38S
USC00249103          88P
USC00249175          77P
USC00249240          90S
USC00250030          79S
USC00250050         150S
USC00250070         181P
USC00250130          87P
USC00250245         160S
USC00250320         164S
USC00250355         155P
USC00250365         121C
USC00250375         205S
USC00250420         160S
USC00250427         160P
USC00250435         195S
USC00250445         201S
USC00250520         221P
USC00250525         184P
USC00250622         202P
USC00250640         163C
USC00250680         191P
USC00250760         115S
USC00250770         209P
USC00250781         202S
USC00250810         156S
USC00250865         107S
USC00250930         200P
USC00250945         171S
USC00250961         178S
USC00251052         186P
USC00251065         177S
USC00251130         141P
USC00251145         110S
USC00251200         150S
USC00251240         182C
USC00251345         164S
USC00251365         164S
USC00251415         146S
USC00251450         154S
USC00251560         191S
USC00251590         177S
USC00251660         194P
USC00251680         178S
USC00251684         194S
USC00251696         162P
USC00251825         187S
USC00251835         160P
USC00251973         124P
USC00251990         173S
USC00252000         112S
USC00252020         197S
USC00252037         178P
USC00252065         133C
USC00252100         139S
USC00252145         118S
USC00252205         191S
USC00252306         191S
USC00252380         198S
USC00252595         172S
USC00252645          89S
USC00252646         120P
USC00252647         108S
USC00252680         171S
USC00252690         147S
USC00252706         191P
USC00252715         190S
USC00252741         120P
USC00252770         181S
USC00252790         145C
USC00252805         179S
USC00252820         210S
USC00252840         182S
USC00252935         218P
USC00253037         174P
USC00253050         190S
USC00253065         182C
USC00253075         171P
USC00253165         160P
USC00253175         192S
USC00253185         181C
USC00253355         111S
USC00253365         149S
