AQC00914000         683P
USC00133487          84C
USC00133509          96S
USC00133517          72C
USC00133584          85S
USC00133632          80C
USC00133718          69S
USC00133909          81C
USC00133985          69P
USC00134038          75S
USC00134049          87S
USC00134063          91S
USC00134101          90S
USC00134142          94S
USC00134228          75S
USC00134244          82S
USC00134308          81S
USC00134342          70P
USC00134381         102S
USC00134389         101S
USC00134502         103S
USC00134557          80C
USC00134561          73S
USC00134585         109S
USC00134620          78P
USC00134705          90S
USC00134735          61S
USC00134758          96S
USC00134894          82S
USC00134926          91C
USC00134963          99P
USC00135086          85S
USC00135123          70S
USC00135127          71P
USC00135131          86S
USC00135198          97S
USC00135230          89C
USC00135250          91S
USC00135493          69S
USC00135650          96S
USC00135769         101S
USC00135796          98S
USC00135837          93S
USC00135844         100P
USC00135952          97S
USC00135992          88S
USC00136103          76S
USC00136151          87S
USC00136190          66S
USC00136200          75P
USC00136243          73S
USC00136305          90S
USC00136316          96S
USC00136327         102S
USC00136492          95P
USC00136527          98S
USC00136566          81S
USC00136719          82S
USC00136755          82C
USC00136766          86P
USC00136800          70S
USC00136891          84S
USC00136910          94P
USC00136940          91S
USC00137147          66S
USC00137152          71S
USC00137161          73S
USC00137312          81S
USC00137386          63S
USC00137594          70C
USC00137613          98S
USC00137664          64S
USC00137669          85S
USC00137678          88S
USC00137700          62C
USC00137713          76P
USC00137726          73S
USC00137844          68S
USC00137859          62P
USC00137979          95S
USC00138026          75S
USC00138062         108P
USC00138266          83S
USC00138270          73S
USC00138296          81S
USC00138339          88S
USC00138568          95S
USC00138632          79S
USC00138668          88S
USC00138688          87S
USC00138742          81S
USC00138806          85S
USC00139062          85P
USC00139067          93S
USC00139132          83S
USC00139750          92S
USC00140010          93S
USC00140135          64S
USC00140195         103C
USC00140201          69P
USC00140313         114S
USC00140365          54C
USC00140405         100S
USC00140439          51S
USC00140441          52S
USC00140443         109S
USC00140447         111S
USC00140548         148P
USC00140620          54P
USC00140676          63S
USC00140679         119P
USC00140682          82S
USC00140693          68S
USC00140836          38S
USC00140865          61P
USC00140877         107P
USC00140911          81S
USC00140957         116S
USC00141003          86S
USC00141029          40P
USC00141057          89S
USC00141104          61S
USC00141141          59S
USC00141179          65P
USC00141202         108S
USC00141233          98S
USC00141239         118S
USC00141351         110S
USC00141355          57P
USC00141371          64S
USC00141383          53S
USC00141395         117S
USC00141404         116P
USC00141408          92P
USC00141425         103P
USC00141435          87P
USC00141452          73S
USC00141478         120P
USC00141522          55S
USC00141536          83S
USC00141559          80S
USC00141593          78S
USC00141612         101S
USC00141699          44C
USC00141704          69C
USC00141730          47S
USC00141740         141S
USC00141795          97S
USC00141858         116S
USC00141867          95S
USC00141875          71S
USC00141999          54C
USC00142086          52S
USC00142135          87S
USC00142213          47S
USC00142267         105S
USC00142388         101S
USC00142401         106S
USC00142409         115P
USC00142432          36S
USC00142452          57S
USC00142459          68P
USC00142478          96P
USC00142519          92P
USC00142548         112S
USC00142574          92S
USC00142582         129P
USC00142592          63P
USC00142602         106P
USC00142622         113S
USC00142652          82S
USC00142686         121S
USC00142773         103S
USC00142835         134S
USC00142848          91S
USC00142872          88P
USC00142894         127P
USC00142945         134S
USC00142980          37S
USC00143008         123S
USC00143037          73P
USC00143074         139P
USC00143100          60S
USC00143134          88P
USC00143138          95S
USC00143175          54S
USC00143218          66S
USC00143239          66S
USC00143248         114S
USC00143257         119P
USC00143323          84C
USC00143331         122P
USC00143398          77P
USC00143467         101P
USC00143523          55P
USC00143527          49S
USC00143554          52C
USC00143594         102S
USC00143634          80S
USC00143665          54S
USC00143667          94S
USC00143686         119P
USC00143759         107S
USC00143810         105S
USC00143822         111S
USC00143837          40S
USC00143842         112P
USC00143847          76C
USC00143855          46S
USC00143867         132P
USC00143897          68P
USC00143929          95P
USC00143930          85S
USC00143954         131S
USC00143974          92C
USC00143984         130S
USC00143997          66S
USC00144073          46P
USC00144087          56S
USC00144089          68S
USC00144104         105S
USC00144114          40P
USC00144161          47S
USC00144166          47P
USC00144178          74S
USC00144313         100S
USC00144333          71S
USC00144421         122S
USC00144464          41S
USC00144530          62P
USC00144559         113S
USC00144588         120S
USC00144598          71S
USC00144608         117C
USC00144613         107S
USC00144642          51S
USC00144665          38S
USC00144675         137S
USC00144695          45S
USC00144708          90C
USC00144712          75S
USC00144729         102P
USC00144735          79S
USC00144775          54S
USC00144802          85P
USC00144807          63S
USC00144812         127S
USC00144821          60C
USC00144857          65S
USC00144912         105P
USC00144937         113S
USC00144972          95S
USC00144982          67S
USC00145039          93S
USC00145063          90S
USC00145069         106S
USC00145115          46P
USC00145127          46C
USC00145132          98C
USC00145152          93S
USC00145171          54S
USC00145173          78P
USC00145210         112S
USC00145306          89S
USC00145335          79S
USC00145355          38S
USC00145363          79P
USC00145421          45P
USC00145463         133S
USC00145483          55P
USC00145528         129S
USC00145536         136S
USC00145539          95S
USC00145628          63C
USC00145692          52S
USC00145744          88S
USC00145768          76P
USC00145787          51S
USC00145852          66P
USC00145856          51S
USC00145870          92S
USC00145888          41S
USC00145892          49P
USC00145906          53S
USC00145920          58S
USC00145972         116S
USC00146014          95S
USC00146076         120P
USC00146084         118S
USC00146088          78P
USC00146100         106S
USC00146115         130C
USC00146128         112S
USC00146154         120S
USC00146169         109P
USC00146192          60S
USC00146209         120S
USC00146217          83S
USC00146242         121C
USC00146305         106S
USC00146333         109S
USC00146340         104P
USC00146378          63P
USC00146414         136S
USC00146435          66P
USC00146498         112S
USC00146524         101S
USC00146549          76S
USC00146637          54P
USC00146679          81P
USC00146685          52S
USC00146725         112P
USC00146787          53S
USC00146808          38S
USC00146813          37S
USC00146979         112S
USC00147007         109C
USC00147049          41P
USC00147050          31P
USC00147075         114P
USC00147093          36S
USC00147095          40S
USC00147140          52S
USC00147248          83P
USC00147271          43C
USC00147305         115S
USC00147313          92P
USC00147397          40S
USC00147534         118P
USC00147542          60C
USC00147796          84C
USC00147809         124S
USC00147832          61P
USC00147904          42S
USC00147922          44S
USC00147968          80P
USC00148038          35S
USC00148086          86S
USC00148114         108S
USC00148156         105S
USC00148235          36C
USC00148245          77S
USC00148250          99S
USC00148257          85P
USC00148259          86S
USC00148287          39S
USC00148293         140P
USC00148323          56S
USC00148341         110S
USC00148495          52C
USC00148498          55S
USC00148503          84S
USC00148549         138S
USC00148563          93S
USC00148578          86S
USC00148648          53S
USC00148670          99S
USC00148802          91S
USC00148892         120S
USC00148911         104P
USC00148914          65P
USC00148946          69S
USC00148964         119S
USC00148988          38S
USC00149026          96S
USC00149040         105P
USC00149080         132S
USC00150012         154S
USC00150063         138S
USC00150254          96S
USC00150381         127S
USC00150397         140P
USC00150402         174P
USC00150422         146C
USC00150450         121S
USC00150490         132S
USC00150619         117P
USC00150630         132S
USC00150700         122S
USC00150804         107S
USC00150875         126S
USC00150904         150S
USC00150906         134S
USC00150940         141S
USC00151080         112P
USC00151090         123P
USC00151120          96P
USC00151137         152P
USC00151210         154S
USC00151227         112S
USC00151294         140S
USC00151306         153P
USC00151318          94P
USC00151391         135P
USC00151640         141S
USC00151725         141S
USC00151727         146P
USC00151890         136S
USC00151900         137P
USC00151965         107P
USC00151998         107P
USC00152040         120S
USC00152072         141C
USC00152214         105S
USC00152250         116P
USC00152358         133P
USC00152366         156P
USC00152409         112P
USC00152500         135S
USC00152512         140P
USC00152548         153P
USC00152775         101S
USC00152791         107S
USC00152825          85S
USC00153006         126P
USC00153030         131P
USC00153052         128P
USC00153112         156P
USC00153194          99P
USC00153203         113P
USC00153223         149P
USC00153246         150S
USC00153252         136S
USC00153382         127P
USC00153389         104P
USC00153391          98P
USC00153398         102S
USC00153430         143S
USC00153435         141P
USC00153712         113P
USC00153714         109C
USC00153741         103P
USC00153762         107S
USC00153768         131S
USC00153994         144P
USC00154208         135P
USC00154369         128S
USC00154620         141P
USC00154703         130S
USC00154732         135P
USC00154755         156P
USC00154848          77S
USC00154857         110P
USC00154905         124S
USC00154946         105P
USC00154955         116S
USC00154967         132P
USC00155067         137S
USC00155072         137P
USC00155097         156P
USC00155111         148P
USC00155175          80P
USC00155235         162S
USC00155243         104P
USC00155370          87P
USC00155524         122S
USC00155559         142P
USC00155640         121P
USC00155648         124C
USC00155694         160S
USC00155834         149S
USC00156028         129S
USC00156091         116P
USC00156094         134P
USC00156117         123P
USC00156136         108S
USC00156155         119P
USC00156170         114S
USC00156360          95P
USC00156379         118P
USC00156580         143S
USC00156595         125S
USC00156810         139S
USC00156882         142S
USC00156988         134S
USC00157134         107P
USC00157215         142S
USC00157234         126S
USC00157324         123P
USC00157334         132S
USC00157431          98S
USC00157441         120P
USC00157508         128P
USC00157510         140S
USC00157604         130C
USC00157648         140P
USC00157677         145S
USC00157800         126S
USC00158070         152P
USC00158348          84P
USC00158446         116S
USC00158551          98S
USC00158709         123S
USC00158714         106P
USC00158824         137S
USC00160007         197S
USC00160016         174P
USC00160021         206S
USC00160098         196C
USC00160103         193P
USC00160205         208S
USC00160238         186P
USC00160349         182C
USC00160462         200S
USC00160537         188S
USC00160546         204P
USC00160548         204P
USC00160558         201C
USC00160565         194S
USC00160617         192S
USC00160800         207S
USC00160945         201P
USC00161232         185S
USC00161235         201P
USC00161246         197P
USC00161287         193S
USC00161365         189P
USC00161411         175C
USC00161535         197P
USC00161565         192S
USC00161891         200P
USC00161899         190S
USC00161941         181P
USC00161979         184C
USC00162002         208P
USC00162121         183S
USC00162145         179P
USC00162151         201S
USC00162212         190S
USC00162350         203S
USC00162361         212P
USC00162367         218S
USC00162534         199S
USC00162641         186P
USC00162800         200P
USC00162812         205P
USC00162981         193C
USC00163165         199P
USC00163313         212S
USC00163322         216P
USC00163327         218P
USC00163331         222P
USC00163433         202S
USC00163695         206S
USC00163741         206P
USC00163800         189C
USC00163804         165P
USC00163807         192P
USC00163829         204P
USC00163867         213P
USC00163877         197P
USC00163979         195P
USC00164030         203S
USC00164034         208P
USC00164050         182P
USC00164288         199S
USC00164355         180S
USC00164398         164S
USC00164407         204P
USC00164592         171P
USC00164674         192S
USC00164696         199P
USC00164700         191C
USC00164732         188S
USC00164739         184S
USC00164775         185P
USC00164816         176S
USC00164859         213P
USC00165021         198P
USC00165074         194C
USC00165076         206P
USC00165090         175C
USC00165266         192C
USC00165287         198P
USC00165296         202P
USC00165430         206P
USC00165438         197S
USC00165522         181P
USC00165527         177P
USC00165610         190P
USC00165620         184S
USC00165624         199P
USC00165630         194C
USC00165783         177P
USC00165874         171P
USC00165892         182S
USC00165896         171P
USC00165908         197P
USC00165935         195P
USC00166244         186S
USC00166314         182S
USC00166364         163S
USC00166394         179C
USC00166431         220P
USC00166466         195P
USC00166582         180S
USC00166657         201P
USC00166666         212P
USC00166686         184S
USC00166836         207S
USC00166866         183S
USC00166868         166P
USC00166911         212S
USC00166938         207C
USC00166978         179S
USC00166995         207S
USC00167096         202S
USC00167304         224S
USC00167344         166P
USC00167366         192S
USC00167425         200P
USC00167448         208S
USC00167691         194P
USC00167729         145P
USC00167732         187P
USC00167738         164C
USC00167767         222S
USC00167924         174S
USC00167932         189S
USC00168046         192S
USC00168067         181S
USC00168094         172P
USC00168108         209P
USC00168136         200S
USC00168139         192P
USC00168163         184S
USC00168181         203P
USC00168405         244P
USC00168436         172S
USC00168539         202S
USC00168543         196P
USC00168669         187P
USC00168785         193P
USC00168831         211C
USC00168861         176P
USC00168923         188S
USC00168941         215P
USC00169013         222P
USC00169357         199S
USC00169369         199P
USC00169392         178P
USC00169480         185P
USC00169631         177P
USC00169803         184P
USC00169806         181S
USC00169809         192P
USC00169930         195S
USC00170100         168S
USC00170177         112P
USC00170200          49P
USC00170398         120P
USC00170409         128P
USC00170480         144S
USC00170600         103P
USC00170655         112P
USC00170814          80S
USC00170833          85S
USC00171472          60P
USC00171628          93S
USC00171833          85P
USC00171975          85S
USC00172048         130P
USC00172238         118S
USC00172426         102P
USC00172602         136P
USC00172620         114P
USC00172700          66P
USC00172765         117C
USC00172878          62S
USC00173046         117S
USC00173261         103S
USC00173295         142P
USC00173417         106S
USC00173567          91S
USC00173570         146P
USC00173588          64S
USC00173862         146P
USC00173944          74P
USC00174086          63C
USC00174183         135P
USC00174193         135P
USC00174324         119S
USC00174566         111S
USC00174781          83S
USC00174817         117P
USC00174878         139S
USC00174927          88S
USC00175261          59S
USC00175304          89S
USC00175460          66S
USC00175675         119S
USC00175736         127P
USC00176430          84P
USC00176705         108P
USC00176721          74P
USC00176856         132P
USC00176881         126P
USC00176937          55S
USC00177037          71C
USC00177039          71P
USC00177174         113P
USC00177238         150P
USC00177325         115S
USC00177479         132S
USC00177654         110P
USC00178353          89P
USC00178965          63S
USC00178974          98S
USC00179151          96C
USC00179294         126P
USC00179314         126S
USC00179538          94P
USC00179593         146S
USC00179891         119S
USC00180193         127P
USC00180335         120S
USC00180700         108S
USC00180732         147P
USC00181530         128S
USC00181750         118C
USC00181862         101P
USC00181995         105P
USC00182060         122S
USC00182282          79S
USC00182325         115S
USC00182335          86P
USC00182336         138P
USC00182770         102P
USC00182906         116S
USC00183348          89P
USC00183415          91C
USC00183675         114P
USC00184030          83P
USC00185080         109P
USC00185111         123S
USC00185832          91P
USC00185865         115S
USC00185894          75P
USC00185934         119P
USC00186350         106S
USC00186620          90S
USC00186770         111P
USC00187272         100S
USC00187330         124P
USC00187705          96P
USC00187806         128S
USC00188000         121S
USC00188065          75S
USC00188380         124C
USC00189030         105P
USC00189070         107S
USC00189140         111S
USC00189440          98P
USC00189750         111P
USC00190120         123S
USC00190190         121S
USC00190213         141S
USC00190408         110S
USC00190535         117S
USC00190551         162P
USC00190562         124S
USC00190593         121P
USC00190666         118S
USC00190759         148P
USC00190860         140S
USC00190998         140P
USC00191386         124S
USC00191436         139P
USC00191611         149P
USC00192107         115S
USC00192451         140S
USC00192501         128S
USC00192997         137S
USC00193052         120P
USC00193213         103P
USC00193276         125P
USC00193401         136P
USC00193405         123P
USC00193471         140P
USC00193505         128S
USC00193549         137P
USC00193624         142S
USC00193702         125P
USC00193821         110S
USC00193876         154P
USC00193985         136P
USC00194075          99P
USC00194313         117S
USC00194502         120P
USC00194580         136S
USC00194711         144S
USC00194744         123C
USC00194760         127P
USC00195175         116S
USC00195246         145P
USC00195285         133S
USC00195306         144P
USC00195524         132S
USC00195984         147S
USC00196245         120P
USC00196435         124P
USC00196486         150S
USC00196783         136S
USC00196938         142S
USC00197627         141P
USC00198278         131C
USC00198367         130P
USC00198573         106S
USC00198757         134S
USC00198793         122S
USC00199316         138P
USC00199371         117P
USC00199972         153P
USC00200032          75S
USC00200094          78S
USC00200128          81P
USC00200146          61C
USC00200230          64C
USC00200417          56S
USC00200446          67P
USC00200632          55P
USC00200718          57S
USC00200779          64S
USC00200864          74S
USC00200925          45C
USC00201299          56P
USC00201361          56S
USC00201439          52P
USC00201468          41P
USC00201476          55P
USC00201486          52P
USC00201492          50S
USC00201502          59P
USC00201675          79S
USC00201802          46P
USC00201896          41S
USC00202015          62S
USC00202094          44S
USC00202140          64P
USC00202250          84S
USC00202381          48C
USC00202395          55S
USC00202423          53S
USC00202437          65P
USC00202445          69S
USC00202631          66P
USC00202851          60S
USC00202984          59S
USC00203096          44S
USC00203099          54P
USC00203290          71P
USC00203306          61S
USC00203391          57S
USC00203429          63C
USC00203477          64S
USC00203504          82S
USC00203529          58S
USC00203585          52P
USC00203628          49P
USC00203632          71P
USC00203661          77S
USC00203744          58S
USC00203769          70P
USC00203823          70S
USC00203858          81P
USC00203932          46P
USC00203947          53S
USC00203969          66P
USC00204078          70S
USC00204090          48S
USC00204104          58S
USC00204257          46C
USC00204320          70S
USC00204502          52S
USC00204655          58S
USC00204939          65P
USC00204944          75S
USC00205065          65P
USC00205097          64S
USC00205434          59S
USC00205531          37P
USC00205558          68P
USC00205567          66S
USC00205603          84S
USC00205662          67P
USC00205690          51P
USC00205892          84C
USC00206007          52P
USC00206012          46P
USC00206158          44P
USC00206184          40S
USC00206220          43S
USC00206300          55S
USC00206507          46S
USC00206658          53P
USC00206680          52S
USC00207094          42S
USC00207190          43P
USC00207222          58S
USC00207274          48P
USC00207280          57S
USC00207350          55P
USC00207364          42P
USC00207742          53P
USC00207812          46S
USC00207820          57S
USC00207867          53S
USC00208184          86S
USC00208293          52P
USC00208417          38S
USC00208468          69P
USC00208680          47P
USC00208772          62S
USC00208800          53S
USC00208890          78P
USC00208920          37S
USC00209006          60P
USC00209188          56S
USC00210018          51S
USC00210050          43P
USC00210059          59P
USC00210075          79S
USC00210157          78P
USC00210252          41S
USC00210287          52C
USC00210387          61P
USC00210515          41P
USC00210667          56S
USC00210852          84P
USC00210939          55S
USC00210981          81P
USC00210989          49S
USC00211063          52S
USC00211074          68P
USC00211107          67P
USC00211198          85S
USC00211245          49P
USC00211263          57S
USC00211303          32P
USC00211374          48P
USC00211390          79P
USC00211448          74P
USC00211465          74P
USC00211630          67C
USC00211669          66P
USC00211691          68S
USC00211891          45S
USC00212038          48S
USC00212142          62P
USC00212486          71S
USC00212500          74S
USC00212543          46P
USC00212645          44P
USC00212698          79S
USC00212721          72S
USC00212737          70S
USC00212768          55P
USC00212842          49P
USC00212881          69S
USC00212916          58P
USC00213076          82P
USC00213174          53S
USC00213282          45S
USC00213290          80S
USC00213303          52C
USC00213311          56P
USC00213411          55S
USC00213417          38P
USC00213455          35P
USC00213520          83S
USC00213567          66S
USC00213793          73S
USC00213962          60S
USC00214008          46S
USC00214103          51P
USC00214106          52S
USC00214176          71S
USC00214306          40P
USC00214418          93C
USC00214438          82P
USC00214453          60P
USC00214534          65S
USC00214546          64S
USC00214563          81S
USC00214652          51S
USC00214778          70P
USC00214793          58S
USC00214809          48P
USC00214861          66S
USC00214884          79P
USC00214918          72P
USC00214937          68P
USC00214994          57S
USC00215012          52P
USC00215073          77P
USC00215175          59P
USC00215204          71S
USC00215325          59S
USC00215392          67S
USC00215400          53S
USC00215482          59P
USC00215488          72S
USC00215563          65S
USC00215571          81P
USC00215586          55P
USC00215598          63S
USC00215615          63S
USC00215638          59S
USC00215838          83P
USC00215842          82S
USC00215887          73S
USC00216152          58S
USC00216166          61P
USC00216228          50P
USC00216276          53P
USC00216287          76S
USC00216405          52S
USC00216547          53S
USC00216565          61S
USC00216612          52S
USC00216654          84S
USC00216787          51S
USC00216795          55P
USC00216817          74S
USC00216822          63S
USC00216839          72P
USC00217020          70S
USC00217107          81P
USC00217149          53S
USC00217157          64P
USC00217184          86P
USC00217326          70P
USC00217377          72P
USC00217405          70S
USC00217460          56P
USC00217502          70S
USC00217907          65C
USC00218025          71P
USC00218037          83P
USC00218227          71P
USC00218311          48S
USC00218323          67S
USC00218419          64S
USC00218429          57S
USC00218450          64P
USC00218477          68P
USC00218520          72S
USC00218552          77S
USC00218579          53C
USC00218618          55S
USC00218679          46S
USC00218692          73S
USC00218808          74P
USC00218907          51S
USC00219004          65S
USC00219033          66S
USC00219046          73S
USC00219059          51S
USC00219067          81P
USC00219072          69S
USC00219085          82P
USC00219101          39P
USC00219134          68P
USC00219170          66S
USC00219173          65S
USC00219208          65P
USC00219249          76S
USC00220008         182S
USC00220021         167S
USC00220039         181P
USC00220173         160P
USC00220237         166S
USC00220290         175S
USC00220378         175S
USC00220488         185S
USC00220521         192S
USC00220585         191P
USC00220660         190S
USC00220792         200P
USC00220955         170S
USC00221094         206S
USC00221111         171P
USC00221152         193S
USC00221174         195C
USC00221262         174P
USC00221314         190S
USC00221389         186P
USC00221489         178S
USC00221578         220S
USC00221606         209P
USC00221707         170S
USC00221738         168P
USC00221743         166P
USC00221804         188S
USC00221852         201S
USC00221860         188S
USC00221865         207S
USC00221880         176S
USC00221962         178S
USC00222034         205P
USC00222046         179S
USC00222094         204P
USC00222385         188C
USC00222658         187P
USC00222773         167S
USC00222896         185S
USC00223107         204S
USC00223208         191S
USC00223340         182S
USC00223605         164P
USC00223645         184S
USC00223671         216P
USC00223700         171C
USC00223887         189S
USC00223920         185S
USC00223975         179S
USC00224001         183S
USC00224173         180S
USC00224265         185P
USC00224377         160C
USC00224455         175S
USC00224702         183P
USC00224776         203S
USC00224816         190P
USC00224842         161S
USC00224869         181P
USC00224939         188C
USC00224966         200S
USC00225062         185S
USC00225247         195P
USC00225361         194P
USC00225611         214P
USC00225704         205P
USC00225897         198P
USC00225943         185C
USC00225987         200S
USC00226009         179C
USC00226084         183S
USC00226177         204S
USC00226256         168S
USC00226294         180P
USC00226308         179S
USC00226476         177S
USC00226484         212P
USC00226718         217S
USC00226750         204P
USC00226811         193P
USC00226894         186S
USC00226921         203S
USC00227066         177P
USC00227106         178S
USC00227111         178S
USC00227128         197S
USC00227132         182S
USC00227172         196P
USC00227220         191S
USC00227444         185P
USC00227467         181S
USC00227537         195P
USC00227560         180C
USC00227807         180S
USC00227815         178S
USC00227840         217S
USC00227921         178C
USC00228053         183S
USC00228145         184P
USC00228374         184S
USC00228413         204P
USC00228445         166S
USC00228556         200S
USC00228998         165S
USC00229006         173P
USC00229048         203S
USC00229072         206P
USC00229079         183S
USC00229114         181S
USC00229157         239P
USC00229173         184P
USC00229216         198P
USC00229326         215S
USC00229400         196S
USC00229426         208S
USC00229439         193S
USC00229597         187S
USC00229639         202P
USC00229743         183S
USC00229793         219S
USC00229860         196S
USC00230088         163P
USC00230127         126P
USC00230143         108S
USC00230164         127S
USC00230204         120S
USC00230224         130P
USC00230304         128S
USC00230539         133P
USC00230595         131P
USC00230608         106S
USC00230657         133P
USC00230735         142P
USC00230789         135S
USC00230817         123S
USC00230856         109S
USC00230980         115S
USC00231037         105S
USC00231087         121P
USC00231145         125C
USC00231189         127C
USC00231212         150P
USC00231275          97S
USC00231304         130S
USC00231340         112S
USC00231356         131P
USC00231364         146S
USC00231383         139S
USC00231467         167P
USC00231482         109P
USC00231540         135P
USC00231580         112S
USC00231640          98P
USC00231674         130S
USC00231704         113P
USC00231711         139S
USC00231773         111S
USC00231801         133P
USC00231822         103S
USC00231837         127S
USC00232220         115P
USC00232240         146S
USC00232289         138S
USC00232302         135S
USC00232318         115P
USC00232482         104S
USC00232503         132S
USC00232511         147P
USC00232568         123P
USC00232591         109S
USC00232619         137P
USC00232809         123P
USC00232850         124P
USC00233038         127C
USC00233043         122S
USC00233079         113C
USC00233094         133S
USC00233102         119P
USC00233329         115P
USC00233369          90S
USC00233451         134P
USC00233483         124P
USC00233568          99S
USC00233601         108C
USC00233793         127S
USC00233838         121P
USC00234019         128P
USC00234023         130S
USC00234136         129S
USC00234154         124P
USC00234226         133S
USC00234271         112C
USC00234382         118P
USC00234417         165S
USC00234505         114S
USC00234544         109S
USC00234637         105P
USC00234694         112S
USC00234705         152C
USC00234825         134S
USC00234850         120S
USC00234904         115S
USC00234919         126S
USC00235027         141S
USC00235050         117P
USC00235098          92S
USC00235207         132P
USC00235227         143S
USC00235253         150S
USC00235307         125C
USC00235340          98S
USC00235492         104P
USC00235541         113P
USC00235578         102S
USC00235671         120S
USC00235704         132S
USC00235834         137C
USC00235862         136S
USC00235976         143C
USC00235987         135S
USC00236012         112S
USC00236045         149S
USC00236269         108P
USC00236302         138P
USC00236357         103P
USC00236402         135S
USC00236452         142S
USC00236460         129S
USC00236468         116P
USC00236493         102S
USC00236563         101C
USC00236641         130S
USC00236678         128S
USC00236739         108P
USC00236745         119P
USC00236760         131P
USC00236775         112P
USC00236791         140S
USC00236804         129S
USC00236826         118P
USC00236866          94S
USC00236970         116S
USC00237105         110P
USC00237114         124P
USC00237263         136C
USC00237300         131S
USC00237309         130P
USC00237397         115S
USC00237398         113S
USC00237475         111P
USC00237506         127S
USC00237514         117S
USC00237578          96S
USC00237632         128S
USC00237645         139P
USC00237720         115P
USC00237772         143P
USC00237963         106S
USC00238051          96S
USC00238082         134S
USC00238171         128P
USC00238188         121P
USC00238223         119S
USC00238313         125S
USC00238444         121P
USC00238466         121S
USC00238515         127S
USC00238523         112P
USC00238524         134S
USC00238561         128S
USC00238577         111P
USC00238603         128S
USC00238620         127S
USC00238664         140S
USC00238746         114P
USC00238754         141P
USC00238777         130S
USC00238805         119P
USC00238880         137S
USC00238910         162P
USC00238984         146S
USC00240088          20P
USC00240110           8S
USC00240115           7P
USC00240199           7S
USC00240364          18S
USC00240375           9P
USC00240392          25S
USC00240412          18S
USC00240432          12P
USC00240636          17S
USC00240739          15P
USC00240743          20S
USC00240755          23S
USC00240770          14S
USC00240775           7P
USC00240780          16S
USC00240801          12P
USC00240802          18S
USC00240819          14P
USC00241008           6S
USC00241044          12S
USC00241047           8S
USC00241050          39P
USC00241081          11P
USC00241084          14S
USC00241088          11S
USC00241102          10P
USC00241127          18S
USC00241169          16S
USC00241231          22C
USC00241297          12S
USC00241470           4P
USC00241518          21S
USC00241525          14S
USC00241552          20S
USC00241557          14S
USC00241692          10S
USC00241722          15S
USC00241737          10S
USC00241758          16S
USC00241875          12S
USC00241905          16S
USC00241938          13S
USC00241974          14S
USC00241984          14S
USC00241995           7S
USC00242104          12S
USC00242122          21S
USC00242221           8P
USC00242266           6P
USC00242275           7P
USC00242301          20S
USC00242347          13S
USC00242409          11S
USC00242421           4S
USC00242438          10S
USC00242689          21S
USC00242793           5S
USC00242820          14P
USC00242827          10S
USC00242857          15S
USC00242996          21S
USC00243013          10C
USC00243089          18P
USC00243098          20S
USC00243110          16S
USC00243113          12S
USC00243139          11P
USC00243157           7P
USC00243176          17S
USC00243346          13S
USC00243366          17S
USC00243378           5P
USC00243445          19S
USC00243486          17P
USC00243489          16S
USC00243530          12S
USC00243554          14P
USC00243570           2S
USC00243581          19S
USC00243617          16S
USC00243707           4S
USC00243727          21S
USC00243753          14P
USC00243885           1S
USC00243915          15P
USC00243929          10S
USC00243939          13S
USC00244038          14S
USC00244084          29S
USC00244174           9S
USC00244180          23S
USC00244241          12S
USC00244328          34S
USC00244345          13S
USC00244358          16S
USC00244364           9S
USC00244386          14S
USC00244447           3S
USC00244506          12S
USC00244512          10S
USC00244522          19S
USC00244530          19P
USC00244538          11P
USC00244545          13P
USC00244558           6C
USC00244715          22S
USC00244820          17P
USC00244894          11P
USC00244954          12S
USC00244978          26S
USC00245011           6P
USC00245015           9S
USC00245020          10S
USC00245030           5S
USC00245040          10P
USC00245043          11S
USC00245045          17S
USC00245080           9C
USC00245153           9C
USC00245285          18P
USC00245303          18S
USC00245338          17S
USC00245340           8S
USC00245387           7S
USC00245533          16P
USC00245572          16S
USC00245596          16S
USC00245603          21S
USC00245608           8S
USC00245668          14S
USC00245712          14P
USC00245735           8S
USC00245754          16S
USC00245761          11S
USC00245811          10P
USC00245870          11S
USC00245872          17P
USC00245961          22C
USC00246008          23P
USC00246157          12S
USC00246190          18S
USC00246218          16S
USC00246236          18S
USC00246238          11S
USC00246304           6S
USC00246472           8P
USC00246586          14S
USC00246601          22S
USC00246615           6P
USC00246635          10S
USC00246640          11S
USC00246647          11P
USC00246655          21P
USC00246672          15P
USC00246685           4S
USC00246691          17P
USC00246700          11C
USC00246747          19P
USC00246862          19S
USC00246893          19S
USC00246902          23S
USC00246918          29S
USC00246927          15S
USC00247034          15S
USC00247128          13C
USC00247136          15S
USC00247159          22S
USC00247214          14S
USC00247228          14P
USC00247234          17P
USC00247263          10S
USC00247265          15S
USC00247286          12S
USC00247292          35S
USC00247318           7S
USC00247382          22S
USC00247425          13P
USC00247448          10S
USC00247500          11P
USC00247540          45P
USC00247560          15S
USC00247618          13P
USC00247620          10S
USC00247740          19S
USC00247800          10S
USC00247864          15S
USC00247894           4S
USC00247964           5S
USC00247996          17S
USC00248021          13S
USC00248165          16P
USC00248169          15S
USC00248211          10S
USC00248233           8S
USC00248324           4S
USC00248363           9P
USC00248380          27S
USC00248390          18P
USC00248415          11P
USC00248430           2S
USC00248498          11P
USC00248501          18S
USC00248569          21S
USC00248597           6S
USC00248693          17P
USC00248732          19S
